,Plant State,AER Fuel Code,m,b,Rsq,Std Error
207,AZ,ORW,2.1029607109445396e-06,-0.004190270723714671,0.19766465308277517,1.601384403411459e-06
208,AZ,OTH,9.415183135272875e-06,-0.018867489491471004,0.17818113205139596,6.740074768319005e-06
209,AZ,PC,0.0,0.0,0.0,0.0
210,AZ,RFO,-1.565526488851809e-05,0.03140261185200647,0.7525391981682149,8.977368763212068e-06
211,AZ,SUN,0.002642216631383448,-5.302298635301104,0.672576850028414,0.0005829779860667106
212,AZ,WND,0.00044983245980175,-0.9024190020970374,0.8594783027079874,5.751816541484564e-05
213,AZ,WOC,0.0,0.0,0.0,0.0
214,AZ,WOO,8.162214186956488e-07,-0.0016315359247038581,0.02428057553956836,2.3139606637493793e-06
215,AZ,WWW,0.00015640776813258416,-0.31346542662514465,0.7913372152271497,2.5398029498471096e-05
216,KS,COL,-0.017961550193484926,36.769242689974796,0.8810182893952434,0.002087331650461209
217,KS,DFO,-1.8044214093430957e-05,0.03724413549423322,0.15853335472267344,1.314607480740009e-05
218,KS,GEO,0.0,0.0,0.0,0.0
219,KS,HPS,0.0,0.0,0.0,0.0
220,KS,HYC,1.1807936277974695e-05,-0.023451755664576975,0.5145439458595044,3.6269179031988602e-06
221,KS,MLG,0.00016190195760584647,-0.32471246365597706,0.7827624291821107,2.697146786820141e-05
222,KS,NG,0.0008941471740096083,-1.7555763030490463,0.049602946143770664,0.0012376784036753417
223,KS,NUC,-0.0036088550171609647,7.4393821283577,0.4403292758005125,0.0012866100797340589
224,KS,OOG,0.0,0.0,0.0,0.0
225,KS,ORW,-3.1658038492757204e-06,0.006349671491694202,0.19800756680122092,2.601073470105002e-06
226,KS,OTH,8.866457520219681e-10,-1.77949802430809e-06,0.2500000000000001,5.119051636057213e-10
227,KS,PC,3.6002508308093444e-05,-0.07134627885979991,0.007183990131730509,0.0001599687906735524
228,KS,RFO,-0.0027962180616926203,5.617729810604328,0.5403869302126441,0.0011532668300640902
229,KS,SUN,1.5257177075250533e-06,-0.0030626240115719573,0.23076923076923084,8.808735291469682e-07
230,KS,WND,0.02189149254591215,-43.900762527093214,0.8862237435279147,0.002480444430154834
231,KS,WOC,0.0,0.0,0.0,0.0
232,KS,WOO,0.0,0.0,0.0,0.0
233,KS,WWW,0.0,0.0,0.0,0.0
234,SC,COL,-0.015259757990458613,31.00740451765881,0.8211239591575087,0.0022522643922226215
235,SC,DFO,9.050478167340677e-06,-0.016890334471500117,0.004136600672197906,4.4406813594604415e-05
236,SC,GEO,0.0,0.0,0.0,0.0
237,SC,HPS,0.00033080994556736014,-0.6749649631291933,0.6555651820648178,7.58270466773658e-05
238,SC,HYC,0.0004000607389916593,-0.7822638841597556,0.04566963126245906,0.0005783111322535966
239,SC,MLG,0.00013284208117206542,-0.2655258182683252,0.8543843400642952,1.73425546788981e-05
240,SC,NG,0.011012332457418814,-22.032888177989307,0.8669724195541696,0.0013641041155864053
241,SC,NUC,0.0033348882614168004,-6.176198652496773,0.37929046648848186,0.0013490856771870858
242,SC,OOG,-2.85897731135393e-06,0.005754533159071012,0.3208560583966225,1.6980906749376195e-06
243,SC,ORW,0.0,0.0,0.0,0.0
244,SC,OTH,-3.642063545281922e-05,0.0739699728486886,0.39834984196873086,1.4154261400222435e-05
245,SC,PC,-0.0004175942084574429,0.8401970214334248,0.22712797449392302,0.0003851615726410062
246,SC,RFO,-0.0001628929477989119,0.3278207681231533,0.707163583223163,3.3147813047226874e-05
247,SC,SUN,3.262258693320638e-06,-0.006547657827048256,0.4225211373582023,1.206041419696131e-06
248,SC,WND,0.0,0.0,0.0,0.0
249,SC,WOC,0.0,0.0,0.0,0.0
250,SC,WOO,1.1892257749036304e-05,-0.023720016655983216,0.14761685356777846,9.036781224528347e-06
251,SC,WWW,0.0005261909509518724,-1.0386302497320938,0.6657923455046632,0.00011789141285018473
252,FL,COL,-0.010636529776326118,21.625483001937983,0.8127071747326665,0.0016147060919283565
253,FL,DFO,-0.00033350960762459534,0.6727778730064303,0.551465452888396,9.511459073030065e-05
254,FL,GEO,0.0,0.0,0.0,0.0
255,FL,HPS,0.0,0.0,0.0,0.0
256,FL,HYC,-1.27531734392094e-05,0.02657011154604144,0.06033240474516431,1.5915858640065637e-05
257,FL,MLG,-2.0284638341374603e-05,0.04864077306072382,0.03197427350030144,3.529477160883526e-05
258,FL,NG,0.02928661291867106,-58.320521158107304,0.9047993964412854,0.003004089358949171
259,FL,NUC,-0.003244545624843347,6.642502926777399,0.3528442459093909,0.0013895263100317777
260,FL,OOG,-5.031903005237536e-06,0.010154024017044242,0.8122353874360976,7.65064728593871e-07
261,FL,ORW,3.435752120043385e-05,-0.06651662342665089,0.2209200130882662,2.040306049058631e-05
262,FL,OTH,-0.00016729690013831961,0.3500514410717405,0.24501077362011292,9.286791181668069e-05
263,FL,PC,-0.0027966479165123953,5.636070552769812,0.8194622246944968,0.0004151044302360562
264,FL,RFO,-0.0123488610586703,24.85627562441854,0.8269721519067307,0.0017862385792363252
265,FL,SUN,0.00011331106783277095,-0.22730475340263484,0.8599483499699163,1.4460398568769847e-05
266,FL,WND,0.0,0.0,0.0,0.0
267,FL,WOC,0.0,0.0,0.0,0.0
268,FL,WOO,-1.8596027831513506e-06,0.0037516954555825814,0.8170511495500635,2.782661679342078e-07
269,FL,WWW,0.000133038693979794,-0.2579354891247254,0.3421445002629176,5.833624165500737e-05
270,NV,COL,-0.029083229447099807,58.666927748104506,0.7064778473145247,0.0059280764709552245
271,NV,DFO,1.430801429417513e-05,-0.028354252548225573,0.3718189201496806,5.881065936839261e-06
272,NV,GEO,0.0048160306670978256,-9.623880559184206,0.9350286276176788,0.00040145586775389353
273,NV,HPS,0.0,0.0,0.0,0.0
274,NV,HYC,0.0019137249068260339,-3.7852816403626504,0.4536779097398916,0.0006640947901441599
275,NV,MLG,7.281740301901466e-05,-0.14611373522577317,0.6890458303754489,1.546889615242428e-05
276,NV,NG,0.01824749256958204,-36.02105837783134,0.47748560525554085,0.006036319008865451
277,NV,NUC,0.0,0.0,0.0,0.0
278,NV,OOG,-1.311239478822663e-05,0.026531654601484368,0.13165727869340133,1.0648910171189522e-05
279,NV,ORW,0.0,0.0,0.0,0.0
280,NV,OTH,3.244584732338326e-05,-0.06503613533829054,0.10996243493294139,2.9190471816741855e-05
281,NV,PC,0.0,0.0,0.0,0.0
282,NV,RFO,-0.000657770446533677,1.3198201799924034,0.6045193742201964,0.0003761983213137487
283,NV,SUN,0.003293313620765794,-6.607072454035983,0.7861579813360503,0.0005431561473298315
284,NV,WND,0.0008033098680219873,-1.6120093026319882,0.6871520829499651,0.000171404927285253
285,NV,WOC,0.0,0.0,0.0,0.0
286,NV,WOO,0.0,0.0,0.0,0.0
287,NV,WWW,3.8224529801145725e-07,-0.000764065879025124,0.024280575539568344,1.0836527481907237e-06
